Date,Region,Customers,Product Type,Bag Size (kg),Quantity Sold,Unit Price,Total Revenue
5/20/2025,Portharcourt,Eterna Plc,Slag Cement,25,932,2404,2240528
5/21/2025,Portharcourt,BuildRight Co,White Cement,25,288,3989,1148832
5/22/2025,Kano,StoneWorks Ltd,Slag Cement,25,138,3522,486036
5/23/2025,Kano,Eterna Plc,White Cement,50,838,2959,2479642
5/24/2025,Lagos,Dangote Ltd,Slag Cement,25,632,2505,1583160
5/25/2025,Portharcourt,BuildRight Co,White Cement,25,473,2183,1032559
5/26/2025,Portharcourt,StoneWorks Ltd,White Cement,50,958,3007,2880706
5/27/2025,Abuja,BuildRight Co,Slag Cement,50,72,3121,224712
5/28/2025,Kaduna,Dangote Ltd,PPC,50,315,2542,800730
5/29/2025,Portharcourt,MegaCem,Portland Cement,25,359,2196,788364
5/30/2025,Kano,Eterna Plc,White Cement,50,850,3525,2996250
5/31/2025,Lagos,BuildRight Co,White Cement,50,917,2673,2451141
6/1/2025,Kaduna,StoneWorks Ltd,Portland Cement,25,889,2110,1875790
6/2/2025,Lagos,StoneWorks Ltd,White Cement,25,296,2909,861064
6/3/2025,Lagos,StoneWorks Ltd,Slag Cement,50,874,2530,2211220
6/4/2025,Portharcourt,MegaCem,Portland Cement,50,400,3786,1514400
6/5/2025,Abuja,Dangote Ltd,PPC,25,870,2121,1845270
6/6/2025,Portharcourt,MegaCem,Slag Cement,50,831,3105,2580255
6/7/2025,Kano,MegaCem,Portland Cement,25,291,3922,1141302
6/8/2025,Portharcourt,StoneWorks Ltd,PPC,25,812,2662,2161544
6/9/2025,Abuja,Dangote Ltd,Portland Cement,50,505,3763,1900315
6/10/2025,Kaduna,StoneWorks Ltd,White Cement,50,209,3785,791065
6/11/2025,Lagos,MegaCem,White Cement,50,98,2925,286650
6/12/2025,Kano,Dangote Ltd,Slag Cement,25,907,2639,2393573
6/13/2025,Lagos,Eterna Plc,Slag Cement,50,702,3330,2337660
6/14/2025,Abuja,Dangote Ltd,PPC,50,333,2369,788877
6/15/2025,Kano,StoneWorks Ltd,White Cement,50,954,3152,3007008
6/16/2025,Kano,Eterna Plc,Portland Cement,50,177,2785,492945
6/17/2025,Portharcourt,BuildRight Co,Slag Cement,25,759,3924,2978316
6/18/2025,Abuja,Dangote Ltd,White Cement,25,632,2218,1401776
6/19/2025,Lagos,Dangote Ltd,Portland Cement,50,959,3892,3732428
6/20/2025,Kano,MegaCem,PPC,25,425,3695,1570375
6/21/2025,Portharcourt,MegaCem,PPC,25,891,3899,3474009
6/22/2025,Portharcourt,BuildRight Co,Slag Cement,25,688,2804,1929152
6/23/2025,Lagos,Dangote Ltd,Slag Cement,25,441,2380,1049580
6/24/2025,Kano,StoneWorks Ltd,PPC,50,377,3859,1454843
6/25/2025,Kaduna,StoneWorks Ltd,Portland Cement,25,410,2008,823280
6/26/2025,Kaduna,Dangote Ltd,White Cement,50,898,3022,2713756
6/27/2025,Abuja,BuildRight Co,PPC,25,126,2280,287280
6/28/2025,Lagos,StoneWorks Ltd,Portland Cement,50,193,3435,662955
6/29/2025,Portharcourt,Dangote Ltd,Slag Cement,50,522,3992,2083824
6/30/2025,Kaduna,BuildRight Co,White Cement,25,970,3703,3591910
7/1/2025,Kano,MegaCem,Slag Cement,25,625,2710,1693750
7/2/2025,Lagos,Eterna Plc,PPC,25,751,2766,2077266
7/3/2025,Abuja,Eterna Plc,Portland Cement,50,747,3548,2650356
7/4/2025,Abuja,Eterna Plc,White Cement,25,66,3736,246576
7/5/2025,Abuja,BuildRight Co,Portland Cement,50,517,2658,1374186
7/6/2025,Portharcourt,Dangote Ltd,PPC,25,201,2267,455667
7/7/2025,Portharcourt,StoneWorks Ltd,Slag Cement,25,213,2222,473286
7/8/2025,Abuja,BuildRight Co,Slag Cement,50,396,2282,903672
7/9/2025,Kano,StoneWorks Ltd,Portland Cement,25,979,2841,2781339
7/10/2025,Kano,BuildRight Co,Portland Cement,50,716,2845,2037020
7/11/2025,Lagos,Eterna Plc,White Cement,50,117,3570,417690
7/12/2025,Lagos,MegaCem,Portland Cement,50,990,2141,2119590
7/13/2025,Kano,Eterna Plc,Slag Cement,50,568,2659,1510312
7/14/2025,Portharcourt,Eterna Plc,PPC,50,851,2641,2247491
7/15/2025,Kano,Eterna Plc,Portland Cement,25,144,2099,302256
7/16/2025,Lagos,MegaCem,White Cement,50,653,2413,1575689
7/17/2025,Portharcourt,Eterna Plc,Slag Cement,50,324,2249,728676
7/18/2025,Abuja,MegaCem,Slag Cement,25,92,3046,280232
7/19/2025,Lagos,Eterna Plc,White Cement,25,198,2813,556974
7/20/2025,Abuja,Eterna Plc,PPC,50,660,3700,2442000
7/21/2025,Kano,MegaCem,White Cement,25,814,2523,2053722
7/22/2025,Kaduna,Dangote Ltd,Slag Cement,50,464,3194,1482016
7/23/2025,Kaduna,StoneWorks Ltd,White Cement,50,257,3939,1012323
7/24/2025,Lagos,StoneWorks Ltd,Slag Cement,50,473,2710,1281830
7/25/2025,Abuja,Dangote Ltd,PPC,50,469,3992,1872248
7/26/2025,Portharcourt,Dangote Ltd,White Cement,50,848,3751,3180848
7/27/2025,Lagos,Dangote Ltd,PPC,25,414,3124,1293336
7/28/2025,Kaduna,BuildRight Co,PPC,25,234,3305,773370
7/29/2025,Portharcourt,MegaCem,Portland Cement,25,981,2670,2619270
7/30/2025,Portharcourt,Eterna Plc,White Cement,50,881,2752,2424512
7/31/2025,Lagos,BuildRight Co,Portland Cement,25,803,2821,2265263
8/1/2025,Lagos,StoneWorks Ltd,Portland Cement,50,391,3874,1514734
8/2/2025,Kaduna,BuildRight Co,Slag Cement,50,167,3482,581494
8/3/2025,Kano,StoneWorks Ltd,PPC,50,420,2531,1063020
8/4/2025,Kano,Eterna Plc,PPC,25,870,3499,3044130
8/5/2025,Kaduna,BuildRight Co,White Cement,25,863,2178,1879614
8/6/2025,Abuja,BuildRight Co,White Cement,25,636,3824,2432064
8/7/2025,Portharcourt,MegaCem,PPC,25,169,3109,525421
8/8/2025,Abuja,StoneWorks Ltd,PPC,50,634,2286,1449324
8/9/2025,Lagos,StoneWorks Ltd,Slag Cement,25,685,2038,1396030
8/10/2025,Abuja,BuildRight Co,Portland Cement,25,793,3372,2673996
8/11/2025,Kaduna,StoneWorks Ltd,White Cement,50,160,2972,475520
8/12/2025,Portharcourt,BuildRight Co,White Cement,50,479,3689,1767031
8/13/2025,Lagos,BuildRight Co,Slag Cement,50,833,2926,2437358
8/14/2025,Abuja,StoneWorks Ltd,Portland Cement,50,917,2122,1945874
8/15/2025,Abuja,MegaCem,White Cement,50,655,3601,2358655
8/16/2025,Abuja,BuildRight Co,Portland Cement,50,781,2045,1597145
8/17/2025,Kano,BuildRight Co,Portland Cement,25,214,2032,434848
8/18/2025,Abuja,BuildRight Co,Slag Cement,25,733,2474,1813442
8/19/2025,Kaduna,Eterna Plc,Portland Cement,50,784,3133,2456272
8/20/2025,Kaduna,Dangote Ltd,White Cement,50,83,2150,178450
8/21/2025,Lagos,Eterna Plc,White Cement,25,994,2465,2450210
8/22/2025,Portharcourt,Dangote Ltd,White Cement,25,864,2543,2197152
8/23/2025,Abuja,MegaCem,Portland Cement,25,835,3252,2715420
8/24/2025,Kaduna,Dangote Ltd,PPC,50,893,2110,1884230
8/25/2025,Lagos,Eterna Plc,PPC,25,375,3090,1158750
8/26/2025,Abuja,Dangote Ltd,White Cement,50,865,3649,3156385
8/27/2025,Portharcourt,BuildRight Co,PPC,25,277,3348,927396
8/28/2025,Lagos,Eterna Plc,Slag Cement,50,264,3940,1040160
8/29/2025,Abuja,BuildRight Co,PPC,50,784,3988,3126592
8/30/2025,Portharcourt,BuildRight Co,Portland Cement,25,385,3611,1390235
8/31/2025,Kano,StoneWorks Ltd,PPC,50,142,2674,379708
9/1/2025,Lagos,Dangote Ltd,White Cement,50,909,2314,2103426
9/2/2025,Portharcourt,Eterna Plc,White Cement,25,363,2066,749958
9/3/2025,Portharcourt,Eterna Plc,White Cement,50,222,2046,454212
9/4/2025,Portharcourt,MegaCem,White Cement,25,919,2064,1896816
9/5/2025,Kano,Eterna Plc,PPC,50,841,3682,3096562
9/6/2025,Lagos,Dangote Ltd,Slag Cement,25,365,2463,898995
9/7/2025,Lagos,Dangote Ltd,White Cement,25,81,3826,309906
9/8/2025,Lagos,BuildRight Co,PPC,50,750,3046,2284500
9/9/2025,Abuja,StoneWorks Ltd,White Cement,50,856,3277,2805112
9/10/2025,Lagos,MegaCem,Slag Cement,25,559,2147,1200173
9/11/2025,Abuja,BuildRight Co,PPC,25,824,3968,3269632
9/12/2025,Kano,Dangote Ltd,Portland Cement,50,964,3555,3427020
9/13/2025,Abuja,MegaCem,White Cement,50,340,3883,1320220
9/14/2025,Portharcourt,StoneWorks Ltd,White Cement,50,69,3084,212796
9/15/2025,Abuja,MegaCem,Slag Cement,50,672,3058,2054976
9/16/2025,Portharcourt,BuildRight Co,Slag Cement,50,366,3717,1360422
9/17/2025,Portharcourt,Eterna Plc,Slag Cement,25,504,3046,1535184
9/18/2025,Portharcourt,Dangote Ltd,Portland Cement,25,219,3499,766281
9/19/2025,Abuja,MegaCem,Portland Cement,25,940,2074,1949560
9/20/2025,Abuja,StoneWorks Ltd,Slag Cement,50,684,2386,1632024
9/21/2025,Portharcourt,BuildRight Co,PPC,25,467,2277,1063359
9/22/2025,Portharcourt,Dangote Ltd,Slag Cement,25,286,3088,883168
9/23/2025,Portharcourt,Eterna Plc,Portland Cement,25,687,2310,1586970
9/24/2025,Kano,MegaCem,Portland Cement,25,607,3916,2377012
9/25/2025,Portharcourt,MegaCem,PPC,25,620,2942,1824040
9/26/2025,Lagos,StoneWorks Ltd,Slag Cement,50,182,2262,411684
9/27/2025,Kaduna,MegaCem,PPC,50,701,3311,2321011
9/28/2025,Portharcourt,BuildRight Co,White Cement,25,396,2213,876348
9/29/2025,Kaduna,BuildRight Co,White Cement,50,417,2018,841506
9/30/2025,Lagos,MegaCem,Portland Cement,25,390,2108,822120
10/1/2025,Lagos,BuildRight Co,Portland Cement,25,688,2241,1541808
10/2/2025,Kaduna,BuildRight Co,White Cement,50,983,3844,3778652
10/3/2025,Abuja,Dangote Ltd,Slag Cement,50,101,3733,377033
10/4/2025,Lagos,StoneWorks Ltd,Portland Cement,50,334,2444,816296
10/5/2025,Abuja,BuildRight Co,White Cement,50,410,2795,1145950
10/6/2025,Lagos,MegaCem,Portland Cement,25,600,2553,1531800
10/7/2025,Lagos,Eterna Plc,PPC,25,731,3594,2627214
10/8/2025,Kaduna,MegaCem,White Cement,50,565,3759,2123835
10/9/2025,Kano,StoneWorks Ltd,PPC,50,631,2826,1783206
10/10/2025,Lagos,Dangote Ltd,Portland Cement,50,489,2274,1111986
10/11/2025,Lagos,StoneWorks Ltd,White Cement,50,548,2815,1542620
10/12/2025,Portharcourt,BuildRight Co,Portland Cement,50,164,2967,486588
10/13/2025,Kano,StoneWorks Ltd,Portland Cement,50,185,2796,517260
10/14/2025,Portharcourt,MegaCem,Portland Cement,50,293,3196,936428
10/15/2025,Kano,Dangote Ltd,White Cement,50,952,3152,3000704
10/16/2025,Lagos,Eterna Plc,Slag Cement,50,109,2074,226066
10/17/2025,Abuja,MegaCem,PPC,25,485,2674,1296890
10/18/2025,Abuja,Dangote Ltd,Slag Cement,25,129,2629,339141
10/19/2025,Kano,StoneWorks Ltd,Slag Cement,25,726,3530,2562780
10/20/2025,Lagos,Eterna Plc,White Cement,50,335,2609,874015
10/21/2025,Lagos,MegaCem,PPC,50,305,3279,1000095
10/22/2025,Kaduna,StoneWorks Ltd,Slag Cement,50,640,3995,2556800
10/23/2025,Kaduna,Eterna Plc,White Cement,50,503,3285,1652355
10/24/2025,Kaduna,Eterna Plc,Slag Cement,50,414,2448,1013472
10/25/2025,Portharcourt,Eterna Plc,White Cement,50,76,3910,297160
10/26/2025,Abuja,MegaCem,Portland Cement,50,212,3247,688364
10/27/2025,Abuja,Eterna Plc,Slag Cement,25,298,2671,795958
10/28/2025,Lagos,MegaCem,Portland Cement,25,480,3702,1776960
10/29/2025,Lagos,Dangote Ltd,PPC,50,729,2797,2039013
10/30/2025,Kaduna,Dangote Ltd,Slag Cement,50,791,3128,2474248
10/31/2025,Abuja,BuildRight Co,PPC,50,768,3771,2896128
11/1/2025,Kano,Eterna Plc,White Cement,25,652,3958,2580616
11/2/2025,Kaduna,Dangote Ltd,White Cement,25,972,3923,3813156
11/3/2025,Portharcourt,Dangote Ltd,Portland Cement,50,292,3296,962432
11/4/2025,Lagos,BuildRight Co,White Cement,50,103,3331,343093
11/5/2025,Lagos,Eterna Plc,White Cement,25,169,2545,430105
11/6/2025,Abuja,MegaCem,White Cement,50,74,3713,274762
11/7/2025,Kaduna,MegaCem,Portland Cement,50,940,3552,3338880
11/8/2025,Abuja,Eterna Plc,Slag Cement,25,161,3165,509565
11/9/2025,Abuja,Dangote Ltd,PPC,50,241,3582,863262
11/10/2025,Lagos,MegaCem,White Cement,25,679,2664,1808856
11/11/2025,Kaduna,Dangote Ltd,Slag Cement,25,105,2241,235305
11/12/2025,Lagos,MegaCem,Slag Cement,50,615,2904,1785960
11/13/2025,Kano,BuildRight Co,White Cement,50,121,3465,419265
11/14/2025,Lagos,Eterna Plc,PPC,25,223,3934,877282
11/15/2025,Portharcourt,BuildRight Co,White Cement,25,396,3683,1458468
11/16/2025,Kaduna,MegaCem,White Cement,50,750,2532,1899000
11/17/2025,Kano,MegaCem,White Cement,50,478,2032,971296
11/18/2025,Kano,Dangote Ltd,PPC,25,425,2655,1128375
11/19/2025,Portharcourt,BuildRight Co,Slag Cement,25,175,3826,669550
11/20/2025,Kano,MegaCem,Portland Cement,25,318,3495,1111410
11/21/2025,Kano,Eterna Plc,PPC,25,796,2928,2330688
11/22/2025,Kano,Eterna Plc,PPC,25,469,2675,1254575
11/23/2025,Portharcourt,MegaCem,PPC,25,92,2807,258244
11/24/2025,Lagos,Dangote Ltd,White Cement,50,305,3108,947940
11/25/2025,Portharcourt,Dangote Ltd,Slag Cement,50,780,2352,1834560
11/26/2025,Portharcourt,Dangote Ltd,White Cement,25,741,3548,2629068
11/27/2025,Lagos,BuildRight Co,White Cement,50,313,2372,742436
11/28/2025,Lagos,Eterna Plc,White Cement,25,367,2107,773269
11/29/2025,Kaduna,Dangote Ltd,Portland Cement,50,82,3228,264696
11/30/2025,Abuja,BuildRight Co,PPC,50,722,2578,1861316
12/1/2025,Kaduna,MegaCem,Slag Cement,50,105,3854,404670
12/2/2025,Lagos,Eterna Plc,Portland Cement,50,235,3531,829785
12/3/2025,Abuja,MegaCem,White Cement,25,116,3814,442424
12/4/2025,Abuja,Dangote Ltd,Slag Cement,50,120,2313,277560
12/5/2025,Abuja,BuildRight Co,Slag Cement,50,447,3653,1632891
12/6/2025,Abuja,MegaCem,White Cement,50,512,2795,1431040
12/7/2025,Kaduna,MegaCem,Portland Cement,25,563,3373,1898999
12/8/2025,Kaduna,Eterna Plc,PPC,25,613,3121,1913173
12/9/2025,Kano,Dangote Ltd,White Cement,25,376,2273,854648
12/10/2025,Kano,Dangote Ltd,Portland Cement,25,418,3770,1575860
12/11/2025,Portharcourt,BuildRight Co,White Cement,25,207,2986,618102
12/12/2025,Abuja,Dangote Ltd,White Cement,25,939,3665,3441435
12/13/2025,Kano,Eterna Plc,Portland Cement,25,671,2334,1566114
12/14/2025,Kaduna,MegaCem,White Cement,50,797,2254,1796438
12/15/2025,Lagos,Dangote Ltd,Portland Cement,50,437,2916,1274292
12/16/2025,Portharcourt,MegaCem,Slag Cement,25,181,3894,704814
12/17/2025,Lagos,StoneWorks Ltd,Portland Cement,50,127,2704,343408
12/18/2025,Kaduna,Eterna Plc,White Cement,25,194,3331,646214
12/19/2025,Kano,MegaCem,Slag Cement,25,767,2299,1763333
12/20/2025,Kaduna,Dangote Ltd,White Cement,25,597,2769,1653093
12/21/2025,Lagos,BuildRight Co,Portland Cement,25,870,3672,3194640
12/22/2025,Abuja,Dangote Ltd,White Cement,25,610,3136,1912960
12/23/2025,Kaduna,StoneWorks Ltd,Slag Cement,25,847,3267,2767149
12/24/2025,Portharcourt,BuildRight Co,White Cement,50,926,3086,2857636
12/25/2025,Kaduna,BuildRight Co,White Cement,50,830,2860,2373800
12/26/2025,Kano,Dangote Ltd,White Cement,25,383,2744,1050952
12/27/2025,Abuja,BuildRight Co,Slag Cement,25,189,3313,626157
12/28/2025,Portharcourt,StoneWorks Ltd,PPC,50,95,3508,333260
12/29/2025,Abuja,StoneWorks Ltd,Portland Cement,50,909,2190,1990710
12/30/2025,Kaduna,BuildRight Co,Portland Cement,50,138,2095,289110
12/31/2025,Kaduna,StoneWorks Ltd,Slag Cement,25,985,3372,3321420
1/1/2026,Kano,Dangote Ltd,Portland Cement,25,459,2953,1355427
1/2/2026,Portharcourt,BuildRight Co,PPC,50,762,3087,2352294
1/3/2026,Abuja,BuildRight Co,PPC,25,236,3985,940460
1/4/2026,Kano,BuildRight Co,Slag Cement,25,270,3410,920700
1/5/2026,Kaduna,BuildRight Co,White Cement,25,597,2724,1626228
1/6/2026,Kaduna,StoneWorks Ltd,PPC,25,215,3857,829255
1/7/2026,Portharcourt,StoneWorks Ltd,Portland Cement,50,275,2779,764225
1/8/2026,Kaduna,BuildRight Co,Portland Cement,25,721,2275,1640275
